date,close,high,low,open,volume,sma_5,daily_return,close_lag1
2023-06-13,180.77566528320312,181.60404834381112,179.91769818813273,180.2727216495119,54929100,,,
2023-06-14,181.4068145751953,181.84073380664427,179.50350482104812,180.83483150172444,57462900,,0.34913398935826295,180.77566528320312
2023-06-15,183.43832397460935,183.94128262941163,181.23915892536104,181.41667817053525,65433200,,1.1198638839292054,181.4068145751953
2023-06-16,182.3634185791016,184.4048073735327,181.7224110612984,184.1483923281464,101256200,,-0.5859764591266866,183.43832397460935
2023-06-20,182.4521331787109,183.52707478677848,181.86043752572817,181.86043752572817,49799100,182.08727111816407,0.048647146615557385,182.3634185791016
2023-06-21,181.4167022705078,182.84665255889604,180.06563271508736,182.34369383727915,49515700,182.215478515625,-0.5675082500618929,182.4521331787109
2023-06-22,184.4146423339844,184.46395407144703,181.1306792503188,181.19971869233248,51245300,182.81704406738282,1.6525160175199338,181.4167022705078
2023-06-23,184.0990295410156,184.96686782724535,182.4521201007948,182.98466270291837,53117000,182.94918518066407,-0.17114302257909425,184.4146423339844
2023-06-26,182.7085876464844,185.45015206010265,182.66913223239737,184.2470177435845,48088700,183.01821899414062,-0.755268454156308,184.0990295410156
2023-06-27,185.4599609375,185.7854003052084,183.10300465121296,183.3199642296852,50730800,183.61978454589843,1.5058806630037114,182.7085876464844
2023-06-28,186.6335601806641,187.2745677103686,185.00637796044083,185.33180236622024,51216800,184.66315612792968,0.6328046427010701,185.4599609375
2023-06-29,186.96885681152344,187.44223149955704,186.3278492789131,186.46591313429835,46347300,185.1739990234375,0.17965505803713674,186.6335601806641
2023-06-30,191.28831481933597,191.7912585176698,188.6157746627016,188.9806695476879,85213200,186.61185607910156,2.310255344913842,186.96885681152344
2023-07-03,189.7991943359375,191.19956064074088,189.10885998965756,191.1009371490345,31458200,188.02997741699218,-0.7784691316899726,191.28831481933597
2023-07-05,188.68479919433597,190.31198136153697,187.98460856583768,188.9214865295673,46920300,188.6749450683594,-0.5871442950538011,189.7991943359375
2023-07-06,189.15814208984372,189.36524537083605,186.5842258571581,187.2153769807983,45094300,189.17986145019532,0.25086435024383497,188.68479919433597
2023-07-07,188.04379272460935,190.00628587990155,187.60988847797856,188.76371112125616,46815000,189.3948486328125,-0.5891099124377617,189.15814208984372
