date,open,high,low,close,volume,ticker,close_lag1,close_lag5,sma_5,sma_20,daily_return,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,target_close
2023-07-20,192.3927782230016,193.7537038386121,189.8385898976753,190.4598846435547,59581200,AAPL,192.4026641845703,187.9057159423828,190.65516662597656,187.85344543457032,-1.009746694126823,58.534152575375295,1.4789623950072155,1.1252981114096035,0.35366428359761204,193.23681332296448,187.85344543457032,182.47007754617616,189.28636169433597
2023-07-21,191.41650251566855,192.2744696321092,188.5861710830146,189.28636169433597,71951700,AAPL,190.4598846435547,188.05364990234372,190.901708984375,188.09702987670897,-0.6161522944398312,44.216512159964104,1.3759266393715848,1.1754238170019997,0.20050282236958505,193.2616771347373,188.09702987670897,182.93238261868063,190.0851593017578
2023-07-24,190.73603816687745,192.21530010696893,189.592071988394,190.0851593017578,45377800,AAPL,189.28636169433597,191.3080291748047,190.65713500976562,188.39633407592774,0.42200483979493164,50.86054987406036,1.3432422907975763,1.208987511761115,0.1342547790364612,193.271121392276,188.39633407592774,183.52154675957948,190.9431304931641
2023-07-25,190.65714646634552,191.75180092732495,190.25281124926505,190.9431304931641,37283200,AAPL,190.0851593017578,191.05160522460935,190.63544006347655,188.80806198120118,0.45136148164215406,56.90177941054413,1.3707694370606305,1.2413438968210182,0.12942554023961228,193.00384960972247,188.80806198120118,184.6122743526799,191.8109893798828
2023-07-26,190.9924625294884,192.93522799592876,190.6473103947794,191.8109893798828,47471900,AAPL,190.9431304931641,192.4026641845703,190.51710510253906,189.12561264038087,0.45451170957406806,57.91653120085105,1.445945893762115,1.2822642962092377,0.16368159755287737,193.21444561705903,189.12561264038087,185.0367796637027,190.54869079589844
2023-07-27,193.30998316918408,194.47366217807735,189.8879555038913,190.54869079589844,47460200,AAPL,191.8109893798828,190.4598846435547,190.5348663330078,189.32137069702148,-0.6580950278528563,57.40970266944826,1.3876706278541349,1.303345562538217,0.08432506531591777,193.28067383385212,189.32137069702148,185.36206756019084,193.12257385253903
2023-07-28,191.97860770429688,193.9115165426313,191.4559363697747,193.12257385253903,48291400,AAPL,190.54869079589844,189.28636169433597,191.30210876464844,189.62905654907226,1.350774463938742,70.41856866808554,1.531523462469039,1.3489811425243814,0.18254231994465764,193.77082831566955,189.62905654907226,185.48728478247497,193.7339782714844
2023-07-31,193.3493708168966,193.7734336784224,192.560428204252,193.7339782714844,38824100,AAPL,193.12257385253903,190.0851593017578,192.03187255859376,189.75134048461913,0.3165887895695718,73.55085713887674,1.675548418023709,1.414294597624247,0.2612538203994621,194.2300862265573,189.75134048461913,185.27259474268098,192.90562438964844
2023-08-01,193.52691923606864,194.0101351852124,192.5801849485631,192.90562438964844,35175100,AAPL,193.7339782714844,190.9431304931641,192.42437133789062,189.9066635131836,-0.42757284459165046,67.25768678220044,1.7032144021092677,1.472078558521251,0.23113584358801664,194.60259100450136,189.9066635131836,185.2107360218658,189.91751098632807
2023-08-02,192.3434921357412,192.48155598125388,189.19760772385695,189.91751098632807,50389300,AAPL,192.90562438964844,191.8109893798828,192.0456756591797,189.96829986572266,-1.549002737880112,55.31805043405148,1.4671121591523786,1.4710852786474766,-0.003973119495098043,194.62892752695328,189.96829986572266,185.30767220449204,188.52700805664065
2023-08-03,188.92148694956984,189.710414639766,188.0536484329567,188.52700805664065,61235200,AAPL,189.91751098632807,190.54869079589844,191.64133911132814,189.9367431640625,-0.7321615171059781,51.174157779675426,1.1544892318560471,1.407766069289191,-0.2532768374331438,194.6289077051425,189.9367431640625,185.24457862298252,179.47393798828125
2023-08-04,182.95513345446872,184.7894189873242,179.40489853673822,179.47393798828125,115956800,AAPL,188.52700805664065,193.12257385253903,188.91161193847657,189.508251953125,-4.802001666328637,27.203588361340522,0.17421793884187764,1.1610564431997283,-0.9868385043578507,196.10638182004237,189.508251953125,182.91012208620765,176.37730407714844
2023-08-07,179.6119550266926,180.59812946369576,174.89804242164368,176.37730407714844,97576100,AAPL,179.47393798828125,193.7339782714844,185.44027709960938,189.0269973754883,-1.7253947541592374,24.52046454227481,-0.8428111974714625,0.7602829150654902,-1.6030941125369527,197.760374409191,189.0269973754883,180.29362034178558,177.31422424316406
2023-08-08,177.20574441802663,177.77772758258462,175.12491507972354,177.31422424316406,67823000,AAPL,176.37730407714844,192.90562438964844,182.3219970703125,188.61872177124025,0.5312022263396221,23.419101637052762,-1.5552841406277196,0.29716950392684827,-1.8524536445545678,198.7084624448834,188.61872177124025,178.5289810975971,175.72647094726562
2023-08-09,178.36941190145535,178.42857997538025,174.5627769846933,175.72647094726562,60378500,AAPL,177.31422424316406,189.91751098632807,179.4837890625,188.04772567749023,-0.8954460944549103,23.71575738669185,-2.2224237847605366,-0.2067491538106287,-2.015674630949908,199.6651831906626,188.04772567749023,176.43026816431788,175.5094757080078
2023-08-10,176.99859377509202,178.25103959448677,175.1445959609342,175.5094757080078,54686900,AAPL,175.72647094726562,188.52700805664065,176.88028259277343,187.42791366577148,-0.12348466232098287,24.55374455497332,-2.737094934893605,-0.7128183100272241,-2.0242766248663813,200.3290721002457,187.42791366577148,174.52675523129727,175.56874084472656
2023-08-11,175.10462674008653,176.3883728930982,174.34424265962002,175.56874084472656,52036700,AAPL,175.5094757080078,179.47393798828125,176.0992431640625,186.8036682128906,0.03376748547603281,22.434762956137817,-3.1044076491924386,-1.1911361778602672,-1.9132714713321715,200.7437222713222,186.8036682128906,172.86361415445901,177.2178955078125
2023-08-14,175.74650562753334,177.44501774834183,175.09474782272636,177.2178955078125,43675600,AAPL,175.56874084472656,176.37730407714844,176.26736145019532,186.09916152954102,0.9393213479525153,24.697422926039692,-3.22525390352007,-1.5979597229922278,-1.627294180527842,200.49737367230009,186.09916152954102,171.70094938678196,175.23300170898438
2023-08-15,176.64514364841483,177.23763842738072,174.8380051896738,175.23300170898438,43622600,AAPL,177.2178955078125,177.31422424316406,175.8511169433594,185.30823135375977,-1.120030114983861,20.64725153416009,-3.4415180935292256,-1.9666713970996275,-1.474846696429598,200.28716924138493,185.30823135375977,170.3292934661346,174.36398315429688
2023-08-16,174.9169842350172,176.30935657463468,174.29485048513217,174.36398315429688,46964900,AAPL,175.23300170898438,175.72647094726562,175.57861938476563,184.4062973022461,-0.4959217420304807,20.938861195026888,-3.6410596872889016,-2.301549055137482,-1.3395106321514194,199.7543755083024,184.4062973022461,169.0582190961898,171.8260955810547
2023-08-17,174.9268647491592,175.29223725703497,171.31258808782235,171.8260955810547,66062900,AAPL,174.36398315429688,175.5094757080078,174.841943359375,183.4746078491211,-1.4555113546565246,11.710709257448784,-3.958354706051125,-2.632910185320211,-1.325444520730914,199.5217836809714,183.4746078491211,167.4274320172708,172.30996704101562
2023-08-18,170.14732599213767,172.9123464424467,169.81157749118245,172.30996704101562,61172200,AAPL,171.8260955810547,175.56874084472656,174.1901885986328,182.62578811645508,0.28160533958747624,11.303960542300828,-4.123238781425755,-2.93097590454132,-1.1922628768844348,199.16692739302312,182.62578811645508,166.08464883988705,173.64312744140625
2023-08-21,172.88275833759562,173.92951274494206,171.56937297444222,173.64312744140625,46311900,AAPL,172.30996704101562,177.2178955078125,173.47523498535156,181.8036865234375,0.7736989468945188,15.831176557520536,-4.099084007612049,-3.1645975251554663,-0.9344864824565828,198.4180308295548,181.8036865234375,165.18934221732022,175.01573181152344
2023-08-22,174.84785755399471,175.46010661888187,174.04797988711957,175.01573181152344,42038900,AAPL,173.64312744140625,175.23300170898438,173.43178100585936,181.00731658935547,0.7904743426026872,21.95933743155676,-3.9239506139012406,-3.3164681429046214,-0.6074824709966191,197.3009114955079,181.00731658935547,164.71372168320303,178.857177734375
2023-08-23,176.28966979952702,179.28181337734125,176.10204114808752,178.857177734375,52722800,AAPL,175.01573181152344,174.36398315429688,174.330419921875,180.35962600708007,2.1949146417240106,33.34090419183711,-3.4355803245396146,-3.3402905792316204,-0.09528974530799417,195.85529301170183,180.35962600708007,164.8639590024583,174.17637634277344
2023-08-24,178.41277199096436,178.8374075605793,173.8109887437673,174.17637634277344,54945800,AAPL,178.857177734375,171.8260955810547,174.80047607421875,179.54101028442383,-2.6170609705991943,39.254615785065695,-3.3871993789334454,-3.3496723391719856,-0.03752703976145977,194.49048629512416,179.54101028442383,164.5915342737235,176.3784942626953
2023-08-25,175.16386577811136,176.91174101480664,173.62335841851225,176.3784942626953,51449600,AAPL,174.17637634277344,172.30996704101562,175.6141815185547,178.70380630493165,1.2643034412360032,50.002505032546146,-3.1350259905709663,-3.306743069451782,0.17171707888081578,192.26137855531925,178.70380630493165,165.14623405454404,177.9387664794922
2023-08-28,177.8400098200833,178.33376298082638,176.31925671498092,177.9387664794922,43820700,AAPL,176.3784942626953,173.64312744140625,176.4733093261719,177.91404571533204,0.8846159070124759,51.280889368461764,-2.777261295892089,-3.2008467147398436,0.4235854188477548,189.47888959307724,177.91404571533204,166.34920183758683,181.81967163085935
2023-08-29,177.45489519701718,182.5899254092932,177.25739693272806,181.81967163085935,53003900,AAPL,177.9387664794922,175.01573181152344,177.83409729003907,177.35974807739257,2.1810340872596923,61.42229814382359,-2.1557237447281636,-2.991822120737508,0.8360983760093443,186.75911234838412,177.35974807739257,167.960383806401,185.30555725097656
2023-08-30,182.62942352828824,185.50307057198083,182.4319252754348,185.30555725097656,60813900,AAPL,181.81967163085935,178.857177734375,179.12377319335937,177.129150390625,1.9172213814105055,66.35881995605004,-1.3661211267444742,-2.6666819219389013,1.3005607951944271,185.3884762150605,177.129150390625,168.8698245661895,185.52281188964844
2023-08-31,185.4931879048022,186.75719481874472,185.13768501849643,185.52281188964844,60794500,AAPL,185.30555725097656,174.17637634277344,181.39306030273437,176.97894058227538,0.11724129696639718,66.53540073791459,-0.714587410689461,-2.2762630196890132,1.5616756089995523,184.43575426412067,176.97894058227538,169.5221269004301,187.09295654296875
2023-09-01,187.12258052751665,187.5472010181368,185.9276912341992,187.09295654296875,45766500,AAPL,185.52281188964844,176.3784942626953,183.53595275878905,177.35989151000976,0.8463350880290932,66.44732561827541,-0.0707293712283672,-1.835156289996884,1.7644269187685169,186.0327186271454,177.35989151000976,168.6870643928741,187.32994079589844
2023-09-05,185.92768366781115,187.6064413525269,185.26605625958229,187.32994079589844,45280000,AAPL,187.09295654296875,177.9387664794922,185.4141876220703,177.90752334594725,0.12666658184712354,71.39358299102413,0.4534285701356282,-1.3774393179703819,1.83086788810601,187.63781852849706,177.90752334594725,168.17722816339744,180.62478637695312
2023-09-06,186.04618648324464,186.4905763861184,179.20277485131902,180.62478637695312,81755800,AAPL,187.32994079589844,181.81967163085935,185.17521057128906,178.07305145263672,-3.579328745024679,59.177778354375675,0.3240422335660753,-1.0371430076630905,1.3611852412291658,187.87323495344393,178.07305145263672,168.2728679518295,175.3416290283203
2023-09-07,172.99135904079122,175.98351721110967,171.3718491931888,175.3416290283203,112488800,AAPL,180.62478637695312,185.30555725097656,183.18242492675782,178.05380935668944,-2.924934863373174,54.76957231721132,-0.20247006629895736,-0.8702084193902639,0.6677383530913066,187.8748813028119,178.05380935668944,168.23273741056698,175.95387268066406
2023-09-08,176.12176201867752,177.98814840122637,175.56874581023814,175.95387268066406,65551300,AAPL,175.3416290283203,185.52281188964844,181.26863708496094,178.07602920532227,0.3491718742072658,54.926575952660045,-0.5638324022877157,-0.8089332159697543,0.24510081368203862,187.87484903980263,178.07602920532227,168.27720937084192,177.11912536621094
2023-09-11,177.82026144859472,178.0473836718388,175.1243584797436,177.11912536621094,58953100,AAPL,175.95387268066406,187.09295654296875,179.27387084960938,178.15354843139647,0.6622489563851142,54.72099846766449,-0.7475709709271428,-0.796660766961232,0.04908979603408925,187.89320279283942,178.15354843139647,168.41389406995353,174.0973663330078
2023-09-12,177.24751388848827,177.87951732730735,172.6358612060169,174.0973663330078,90370200,AAPL,177.11912536621094,187.32994079589844,176.62735595703126,177.99752197265624,-1.7060602726867269,48.80618200398614,-1.1240583652913188,-0.8621402866272494,-0.26191807866406935,187.89892432242596,177.99752197265624,168.09611962288653,172.03346252441406
2023-09-13,174.30471474035696,175.08485308011382,171.80632524830068,172.03346252441406,84267900,AAPL,174.0973663330078,180.62478637695312,174.90909118652343,177.83754501342773,-1.1854882426228008,40.69979615205285,-1.5708592388799332,-1.0038840770777862,-0.566975161802147,188.02623823681438,177.83754501342773,167.64885179004108,173.54437255859375
2023-09-14,171.82610607332606,173.89987544974738,171.41135521167203,173.54437255859375,60895800,AAPL,172.03346252441406,175.3416290283203,174.5496398925781,177.79656448364258,0.8782652002747859,49.05715954602343,-1.7824869378096366,-1.1596046492241563,-0.6228822885854803,188.05046838988505,177.79656448364258,167.5426605774001,172.823486328125
2023-09-15,174.27512191376346,174.29487626046748,171.64836639188815,172.823486328125,109259500,AAPL,173.54437255859375,175.95387268066406,173.9235626220703,177.8464340209961,-0.41539015056529793,44.45131933618078,-1.9854854674607907,-1.324780812871483,-0.6607046545893076,187.98715296438323,177.8464340209961,167.70571507760897,175.7465057373047
2023-09-18,174.27511585610648,177.13889330258442,173.96899129951683,175.7465057373047,67257600,AAPL,172.823486328125,177.11912536621094,173.64903869628907,178.01826095581055,1.6913322785480744,46.71792303868534,-1.888727947025444,-1.4375702397022754,-0.45115770732316873,187.8765099787017,178.01826095581055,168.1600119329194,176.832763671875
2023-09-19,175.30212586469654,177.38576479928514,174.91699900323945,176.832763671875,51826900,AAPL,175.7465057373047,174.0973663330078,174.1961181640625,178.177742767334,0.6180822372616523,41.85220678644551,-1.7047437530773095,-1.4910049423772822,-0.21373881070002732,187.83921287574378,178.177742767334,168.5162726589242,173.2974853515625
2023-09-20,177.0203732393163,177.45487842056565,173.20859833310675,173.2974853515625,58436200,AAPL,176.832763671875,172.03346252441406,174.44892272949218,178.09183044433593,-1.999221324659295,30.412385760218797,-1.8231858175238074,-1.5574411174065874,-0.26574470011721996,187.90111715834993,178.09183044433593,168.28254373032192,171.7569580078125
